k,variance_kept,auc,n_scored
10,0.7460021472804995,0.7600090691301372,195
25,0.8405110132848935,0.8125776343710285,195
50,0.9096509977657122,0.8334211197648638,195
100,0.9725106574793682,0.857679268551588,195
200,0.9971892059871207,0.8688814997549665,195
394,1.0,0.8626892805005747,195
