C,max_iter,auc_score,train_time_sec
0.01,500,0.8669923975708853,111.90789651870728
0.01,1000,0.8669923975708853,103.12909173965454
0.01,5000,0.8669923975708853,109.59671950340271
0.01,10000,0.8669923975708853,105.16911458969116
0.1,5000,0.8661739265661851,162.39384746551514
0.1,500,0.8661739265661851,165.2671058177948
0.1,1000,0.8661739265661851,159.3002245426178
0.1,10000,0.8661739265661851,158.50170946121216
1.0,10000,0.8623649181501579,214.93480730056763
1.0,500,0.8623649181501579,217.92582297325134
1.0,1000,0.8623649181501579,217.04830408096313
1.0,5000,0.8623649181501579,217.54015946388245
10.0,5000,0.8615414010555399,313.9733316898346
10.0,1000,0.8615414010555399,229.11389827728271
10.0,500,0.8615414010555399,233.0848309993744
10.0,10000,0.8615414010555399,230.03124117851257
0.001,1000,0.8549343025893525,112.40320110321045
0.001,10000,0.8549343025893525,114.40897035598755
0.001,5000,0.8549343025893525,95.147216796875
0.001,500,0.8549343025893525,118.21447443962097
